#term ID	term description	observed gene count	background gene count	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0060205	cytoplasmic vesicle lumen	28	340	2.38e-30	ENSP00000216336,ENSP00000219022,ENSP00000221515,ENSP00000231751,ENSP00000233242,ENSP00000236826,ENSP00000236850,ENSP00000255409,ENSP00000257264,ENSP00000259396,ENSP00000261267,ENSP00000262768,ENSP00000262865,ENSP00000283752,ENSP00000296370,ENSP00000296435,ENSP00000297258,ENSP00000297435,ENSP00000342082,ENSP00000348170,ENSP00000357712,ENSP00000357726,ENSP00000357791,ENSP00000362108,ENSP00000379110,ENSP00000384906,ENSP00000452780,ENSP00000466090	APOA1,APOB,B2M,BPI,CAMP,CHI3L1,CTSG,CXCL1,DEFA4,ELANE,FABP5,HP,HRNR,LCN2,LTF,LYZ,MMP8,OLFM4,ORM1,RETN,S100A12,S100A7,S100P,SAA1,SERPINB3,SLPI,TCN1,TIMP2
GO:0034774	secretory granule lumen	26	323	4.20e-28	ENSP00000216336,ENSP00000219022,ENSP00000221515,ENSP00000231751,ENSP00000236826,ENSP00000236850,ENSP00000255409,ENSP00000257264,ENSP00000259396,ENSP00000261267,ENSP00000262768,ENSP00000262865,ENSP00000283752,ENSP00000296370,ENSP00000296435,ENSP00000297258,ENSP00000297435,ENSP00000342082,ENSP00000348170,ENSP00000357712,ENSP00000357726,ENSP00000357791,ENSP00000362108,ENSP00000379110,ENSP00000452780,ENSP00000466090	APOA1,B2M,BPI,CAMP,CHI3L1,CTSG,CXCL1,DEFA4,ELANE,FABP5,HP,HRNR,LCN2,LTF,LYZ,MMP8,OLFM4,ORM1,RETN,S100A12,S100A7,S100P,SERPINB3,SLPI,TCN1,TIMP2
GO:0035580	specific granule lumen	18	62	6.28e-28	ENSP00000219022,ENSP00000221515,ENSP00000231751,ENSP00000236826,ENSP00000255409,ENSP00000257264,ENSP00000259396,ENSP00000261267,ENSP00000262768,ENSP00000262865,ENSP00000296435,ENSP00000297435,ENSP00000342082,ENSP00000348170,ENSP00000362108,ENSP00000379110,ENSP00000452780,ENSP00000466090	B2M,BPI,CAMP,CHI3L1,CXCL1,DEFA4,ELANE,HP,LCN2,LTF,LYZ,MMP8,OLFM4,ORM1,RETN,SLPI,TCN1,TIMP2
GO:0042581	specific granule	19	159	4.36e-23	ENSP00000219022,ENSP00000221515,ENSP00000231751,ENSP00000236826,ENSP00000255409,ENSP00000257264,ENSP00000259396,ENSP00000261267,ENSP00000262768,ENSP00000262865,ENSP00000296435,ENSP00000297435,ENSP00000342082,ENSP00000348170,ENSP00000362108,ENSP00000379110,ENSP00000452780,ENSP00000466090,ENSP00000468897	B2M,BPI,CAMP,CHI3L1,CXCL1,DEFA4,ELANE,FPR2,HP,LCN2,LTF,LYZ,MMP8,OLFM4,ORM1,RETN,SLPI,TCN1,TIMP2
GO:0030141	secretory granule	29	828	3.05e-22	ENSP00000216336,ENSP00000219022,ENSP00000221515,ENSP00000231751,ENSP00000236826,ENSP00000236850,ENSP00000252244,ENSP00000255409,ENSP00000257264,ENSP00000259396,ENSP00000261267,ENSP00000262768,ENSP00000262865,ENSP00000283752,ENSP00000296370,ENSP00000296435,ENSP00000297258,ENSP00000297435,ENSP00000342082,ENSP00000348170,ENSP00000357712,ENSP00000357726,ENSP00000357791,ENSP00000362108,ENSP00000379110,ENSP00000452780,ENSP00000466090,ENSP00000468897,ENSP00000471493	APOA1,B2M,BPI,CAMP,CHI3L1,CTSG,CXCL1,DEFA4,ELANE,FABP5,FPR1,FPR2,HP,HRNR,KRT1,LCN2,LTF,LYZ,MMP8,OLFM4,ORM1,RETN,S100A12,S100A7,S100P,SERPINB3,SLPI,TCN1,TIMP2
GO:0005882	intermediate filament	18	194	3.76e-20	ENSP00000167586,ENSP00000167588,ENSP00000246635,ENSP00000252242,ENSP00000252244,ENSP00000252245,ENSP00000252250,ENSP00000252252,ENSP00000293745,ENSP00000301653,ENSP00000308452,ENSP00000329243,ENSP00000355124,ENSP00000369317,ENSP00000373487,ENSP00000378292,ENSP00000448220,ENSP00000449404	KRT1,KRT13,KRT14,KRT16,KRT17,KRT18,KRT19,KRT20,KRT4,KRT5,KRT6A,KRT6B,KRT6C,KRT7,KRT72,KRT75,KRT8,KRT80
GO:0044433	cytoplasmic vesicle part	31	1447	3.45e-18	ENSP00000216336,ENSP00000219022,ENSP00000221515,ENSP00000231751,ENSP00000233242,ENSP00000236826,ENSP00000236850,ENSP00000252244,ENSP00000255409,ENSP00000257264,ENSP00000259396,ENSP00000261267,ENSP00000262768,ENSP00000262865,ENSP00000283752,ENSP00000296370,ENSP00000296435,ENSP00000297258,ENSP00000297435,ENSP00000342082,ENSP00000348170,ENSP00000357712,ENSP00000357726,ENSP00000357791,ENSP00000362108,ENSP00000379110,ENSP00000384906,ENSP00000452780,ENSP00000466090,ENSP00000468897,ENSP00000471493	APOA1,APOB,B2M,BPI,CAMP,CHI3L1,CTSG,CXCL1,DEFA4,ELANE,FABP5,FPR1,FPR2,HP,HRNR,KRT1,LCN2,LTF,LYZ,MMP8,OLFM4,ORM1,RETN,S100A12,S100A7,S100P,SAA1,SERPINB3,SLPI,TCN1,TIMP2
GO:0045095	keratin filament	14	94	3.45e-18	ENSP00000167586,ENSP00000246635,ENSP00000252242,ENSP00000252244,ENSP00000252245,ENSP00000252250,ENSP00000252252,ENSP00000293745,ENSP00000329243,ENSP00000369317,ENSP00000373487,ENSP00000378292,ENSP00000448220,ENSP00000449404	KRT1,KRT13,KRT14,KRT18,KRT4,KRT5,KRT6A,KRT6B,KRT6C,KRT7,KRT72,KRT75,KRT8,KRT80
GO:1904724	tertiary granule lumen	11	55	1.63e-15	ENSP00000219022,ENSP00000231751,ENSP00000236826,ENSP00000257264,ENSP00000259396,ENSP00000261267,ENSP00000262768,ENSP00000296435,ENSP00000348170,ENSP00000379110,ENSP00000452780	B2M,CAMP,CXCL1,HP,LTF,LYZ,MMP8,OLFM4,ORM1,TCN1,TIMP2
GO:0005615	extracellular space	25	1134	2.02e-14	ENSP00000219022,ENSP00000221515,ENSP00000225844,ENSP00000231751,ENSP00000233242,ENSP00000236826,ENSP00000236850,ENSP00000255040,ENSP00000255409,ENSP00000259396,ENSP00000261267,ENSP00000262768,ENSP00000283752,ENSP00000296435,ENSP00000297435,ENSP00000305651,ENSP00000306512,ENSP00000342082,ENSP00000343445,ENSP00000348170,ENSP00000357712,ENSP00000362108,ENSP00000379110,ENSP00000384906,ENSP00000466090	APCS,APOA1,APOB,CAMP,CCL13,CHI3L1,CXCL1,CXCL10,CXCL8,DEFA4,ELANE,HP,LCN2,LTF,LYZ,MMP8,OLFM4,ORM1,RETN,S100A7,SAA1,SERPINB3,SERPINB4,SLPI,TIMP2
GO:0005576	extracellular region	34	2505	2.09e-14	ENSP00000219022,ENSP00000221515,ENSP00000225844,ENSP00000231751,ENSP00000233242,ENSP00000236826,ENSP00000236850,ENSP00000252244,ENSP00000255040,ENSP00000255409,ENSP00000257264,ENSP00000259396,ENSP00000261267,ENSP00000262768,ENSP00000262865,ENSP00000283752,ENSP00000296370,ENSP00000296435,ENSP00000297258,ENSP00000297435,ENSP00000305651,ENSP00000306512,ENSP00000342082,ENSP00000343445,ENSP00000348170,ENSP00000357712,ENSP00000357726,ENSP00000357791,ENSP00000362108,ENSP00000364210,ENSP00000379110,ENSP00000384906,ENSP00000452780,ENSP00000466090	AGER,APCS,APOA1,APOB,B2M,BPI,CAMP,CCL13,CHI3L1,CXCL1,CXCL10,CXCL8,DEFA4,ELANE,FABP5,HP,HRNR,KRT1,LCN2,LTF,LYZ,MMP8,OLFM4,ORM1,RETN,S100A12,S100A7,S100P,SAA1,SERPINB3,SERPINB4,SLPI,TCN1,TIMP2
