#term ID	term description	observed gene count	background gene count	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0042119	neutrophil activation	29	497	1.15e-26	ENSP00000216336,ENSP00000219022,ENSP00000221515,ENSP00000231751,ENSP00000236826,ENSP00000252244,ENSP00000255409,ENSP00000257264,ENSP00000259396,ENSP00000261267,ENSP00000262768,ENSP00000262865,ENSP00000283752,ENSP00000296370,ENSP00000296435,ENSP00000297258,ENSP00000297435,ENSP00000306512,ENSP00000342082,ENSP00000348170,ENSP00000357712,ENSP00000357726,ENSP00000357791,ENSP00000362108,ENSP00000379110,ENSP00000452780,ENSP00000466090,ENSP00000468897,ENSP00000471493	B2M,BPI,CAMP,CHI3L1,CTSG,CXCL1,CXCL8,DEFA4,ELANE,FABP5,FPR1,FPR2,HP,HRNR,KRT1,LCN2,LTF,LYZ,MMP8,OLFM4,ORM1,RETN,S100A12,S100A7,S100P,SERPINB3,SLPI,TCN1,TIMP2
GO:0043312	neutrophil degranulation	28	485	6.65e-26	ENSP00000216336,ENSP00000219022,ENSP00000221515,ENSP00000231751,ENSP00000236826,ENSP00000252244,ENSP00000255409,ENSP00000257264,ENSP00000259396,ENSP00000261267,ENSP00000262768,ENSP00000262865,ENSP00000283752,ENSP00000296370,ENSP00000296435,ENSP00000297258,ENSP00000297435,ENSP00000342082,ENSP00000348170,ENSP00000357712,ENSP00000357726,ENSP00000357791,ENSP00000362108,ENSP00000379110,ENSP00000452780,ENSP00000466090,ENSP00000468897,ENSP00000471493	B2M,BPI,CAMP,CHI3L1,CTSG,CXCL1,DEFA4,ELANE,FABP5,FPR1,FPR2,HP,HRNR,KRT1,LCN2,LTF,LYZ,MMP8,OLFM4,ORM1,RETN,S100A12,S100A7,S100P,SERPINB3,SLPI,TCN1,TIMP2
GO:0002366	leukocyte activation involved in immune response	29	616	4.10e-25	ENSP00000216336,ENSP00000219022,ENSP00000221515,ENSP00000231751,ENSP00000236826,ENSP00000252244,ENSP00000255409,ENSP00000257264,ENSP00000259396,ENSP00000261267,ENSP00000262768,ENSP00000262865,ENSP00000264657,ENSP00000283752,ENSP00000296370,ENSP00000296435,ENSP00000297258,ENSP00000297435,ENSP00000342082,ENSP00000348170,ENSP00000357712,ENSP00000357726,ENSP00000357791,ENSP00000362108,ENSP00000379110,ENSP00000452780,ENSP00000466090,ENSP00000468897,ENSP00000471493	B2M,BPI,CAMP,CHI3L1,CTSG,CXCL1,DEFA4,ELANE,FABP5,FPR1,FPR2,HP,HRNR,KRT1,LCN2,LTF,LYZ,MMP8,OLFM4,ORM1,RETN,S100A12,S100A7,S100P,SERPINB3,SLPI,STAT3,TCN1,TIMP2
GO:0045055	regulated exocytosis	29	691	7.90e-24	ENSP00000216336,ENSP00000219022,ENSP00000221515,ENSP00000231751,ENSP00000236826,ENSP00000236850,ENSP00000252244,ENSP00000255409,ENSP00000257264,ENSP00000259396,ENSP00000261267,ENSP00000262768,ENSP00000262865,ENSP00000283752,ENSP00000296370,ENSP00000296435,ENSP00000297258,ENSP00000297435,ENSP00000342082,ENSP00000348170,ENSP00000357712,ENSP00000357726,ENSP00000357791,ENSP00000362108,ENSP00000379110,ENSP00000452780,ENSP00000466090,ENSP00000468897,ENSP00000471493	APOA1,B2M,BPI,CAMP,CHI3L1,CTSG,CXCL1,DEFA4,ELANE,FABP5,FPR1,FPR2,HP,HRNR,KRT1,LCN2,LTF,LYZ,MMP8,OLFM4,ORM1,RETN,S100A12,S100A7,S100P,SERPINB3,SLPI,TCN1,TIMP2
GO:0006955	immune response	37	1560	1.66e-23	ENSP00000216336,ENSP00000219022,ENSP00000221515,ENSP00000225844,ENSP00000231751,ENSP00000236826,ENSP00000252244,ENSP00000255040,ENSP00000255409,ENSP00000257264,ENSP00000259396,ENSP00000261267,ENSP00000262768,ENSP00000262865,ENSP00000264657,ENSP00000283752,ENSP00000296370,ENSP00000296435,ENSP00000297258,ENSP00000297435,ENSP00000301653,ENSP00000305651,ENSP00000306512,ENSP00000342082,ENSP00000348170,ENSP00000357712,ENSP00000357726,ENSP00000357791,ENSP00000362108,ENSP00000364210,ENSP00000369317,ENSP00000379110,ENSP00000384906,ENSP00000452780,ENSP00000466090,ENSP00000468897,ENSP00000471493	AGER,APCS,B2M,BPI,CAMP,CCL13,CHI3L1,CTSG,CXCL1,CXCL10,CXCL8,DEFA4,ELANE,FABP5,FPR1,FPR2,HP,HRNR,KRT1,KRT16,KRT6A,LCN2,LTF,LYZ,MMP8,OLFM4,ORM1,RETN,S100A12,S100A7,S100P,SAA1,SERPINB3,SLPI,STAT3,TCN1,TIMP2
GO:0070268	cornification	18	112	1.66e-23	ENSP00000167586,ENSP00000167588,ENSP00000246635,ENSP00000252242,ENSP00000252244,ENSP00000252245,ENSP00000252250,ENSP00000252252,ENSP00000293745,ENSP00000301653,ENSP00000308452,ENSP00000329243,ENSP00000355124,ENSP00000369317,ENSP00000373487,ENSP00000378292,ENSP00000448220,ENSP00000449404	KRT1,KRT13,KRT14,KRT16,KRT17,KRT18,KRT19,KRT20,KRT4,KRT5,KRT6A,KRT6B,KRT6C,KRT7,KRT72,KRT75,KRT8,KRT80
GO:0001775	cell activation	32	1024	4.21e-23	ENSP00000216336,ENSP00000219022,ENSP00000221515,ENSP00000231751,ENSP00000236826,ENSP00000252244,ENSP00000255409,ENSP00000257264,ENSP00000259396,ENSP00000261267,ENSP00000262768,ENSP00000262865,ENSP00000264657,ENSP00000283752,ENSP00000296370,ENSP00000296435,ENSP00000297258,ENSP00000297435,ENSP00000305651,ENSP00000306512,ENSP00000342082,ENSP00000348170,ENSP00000357712,ENSP00000357726,ENSP00000357791,ENSP00000362108,ENSP00000379110,ENSP00000384906,ENSP00000452780,ENSP00000466090,ENSP00000468897,ENSP00000471493	B2M,BPI,CAMP,CHI3L1,CTSG,CXCL1,CXCL10,CXCL8,DEFA4,ELANE,FABP5,FPR1,FPR2,HP,HRNR,KRT1,LCN2,LTF,LYZ,MMP8,OLFM4,ORM1,RETN,S100A12,S100A7,S100P,SAA1,SERPINB3,SLPI,STAT3,TCN1,TIMP2
GO:0045321	leukocyte activation	30	894	2.96e-22	ENSP00000216336,ENSP00000219022,ENSP00000221515,ENSP00000231751,ENSP00000236826,ENSP00000252244,ENSP00000255409,ENSP00000257264,ENSP00000259396,ENSP00000261267,ENSP00000262768,ENSP00000262865,ENSP00000264657,ENSP00000283752,ENSP00000296370,ENSP00000296435,ENSP00000297258,ENSP00000297435,ENSP00000306512,ENSP00000342082,ENSP00000348170,ENSP00000357712,ENSP00000357726,ENSP00000357791,ENSP00000362108,ENSP00000379110,ENSP00000452780,ENSP00000466090,ENSP00000468897,ENSP00000471493	B2M,BPI,CAMP,CHI3L1,CTSG,CXCL1,CXCL8,DEFA4,ELANE,FABP5,FPR1,FPR2,HP,HRNR,KRT1,LCN2,LTF,LYZ,MMP8,OLFM4,ORM1,RETN,S100A12,S100A7,S100P,SERPINB3,SLPI,STAT3,TCN1,TIMP2
GO:0002252	immune effector process	30	927	7.76e-22	ENSP00000216336,ENSP00000219022,ENSP00000221515,ENSP00000231751,ENSP00000236826,ENSP00000252244,ENSP00000255409,ENSP00000257264,ENSP00000259396,ENSP00000261267,ENSP00000262768,ENSP00000262865,ENSP00000264657,ENSP00000283752,ENSP00000296370,ENSP00000296435,ENSP00000297258,ENSP00000297435,ENSP00000305651,ENSP00000342082,ENSP00000348170,ENSP00000357712,ENSP00000357726,ENSP00000357791,ENSP00000362108,ENSP00000379110,ENSP00000452780,ENSP00000466090,ENSP00000468897,ENSP00000471493	B2M,BPI,CAMP,CHI3L1,CTSG,CXCL1,CXCL10,DEFA4,ELANE,FABP5,FPR1,FPR2,HP,HRNR,KRT1,LCN2,LTF,LYZ,MMP8,OLFM4,ORM1,RETN,S100A12,S100A7,S100P,SERPINB3,SLPI,STAT3,TCN1,TIMP2
GO:0002376	immune system process	40	2370	8.46e-21	ENSP00000216336,ENSP00000219022,ENSP00000221515,ENSP00000225844,ENSP00000231751,ENSP00000233242,ENSP00000236826,ENSP00000252244,ENSP00000252245,ENSP00000255040,ENSP00000255409,ENSP00000257264,ENSP00000259396,ENSP00000261267,ENSP00000262768,ENSP00000262865,ENSP00000264657,ENSP00000283752,ENSP00000296370,ENSP00000296435,ENSP00000297258,ENSP00000297435,ENSP00000301653,ENSP00000305651,ENSP00000306512,ENSP00000342082,ENSP00000348170,ENSP00000357712,ENSP00000357726,ENSP00000357791,ENSP00000362108,ENSP00000362795,ENSP00000364210,ENSP00000369317,ENSP00000379110,ENSP00000384906,ENSP00000452780,ENSP00000466090,ENSP00000468897,ENSP00000471493	AGER,APCS,APOB,B2M,BPI,CAMP,CCL13,CHI3L1,CTSG,CXCL1,CXCL10,CXCL8,CXCR3,DEFA4,ELANE,FABP5,FPR1,FPR2,HP,HRNR,KRT1,KRT16,KRT6A,KRT75,LCN2,LTF,LYZ,MMP8,OLFM4,ORM1,RETN,S100A12,S100A7,S100P,SAA1,SERPINB3,SLPI,STAT3,TCN1,TIMP2
