#term ID	term description	observed gene count	background gene count	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0005198	structural molecule activity	19	679	2.63e-11	ENSP00000167586,ENSP00000167588,ENSP00000246635,ENSP00000252242,ENSP00000252244,ENSP00000252245,ENSP00000252250,ENSP00000252252,ENSP00000255409,ENSP00000293745,ENSP00000301653,ENSP00000308452,ENSP00000329243,ENSP00000355124,ENSP00000369317,ENSP00000373487,ENSP00000378292,ENSP00000448220,ENSP00000449404	CHI3L1,KRT1,KRT13,KRT14,KRT16,KRT17,KRT18,KRT19,KRT20,KRT4,KRT5,KRT6A,KRT6B,KRT6C,KRT7,KRT72,KRT75,KRT8,KRT80
GO:0005200	structural constituent of cytoskeleton	8	106	2.19e-07	ENSP00000167586,ENSP00000167588,ENSP00000252242,ENSP00000252252,ENSP00000301653,ENSP00000308452,ENSP00000355124,ENSP00000369317	KRT14,KRT16,KRT17,KRT19,KRT20,KRT5,KRT6A,KRT6B
GO:0050786	RAGE receptor binding	4	11	7.63e-06	ENSP00000296370,ENSP00000357712,ENSP00000357726,ENSP00000471493	FPR1,S100A12,S100A7,S100P
GO:0008201	heparin binding	7	161	4.27e-05	ENSP00000216336,ENSP00000231751,ENSP00000233242,ENSP00000305651,ENSP00000364210,ENSP00000384906,ENSP00000466090	AGER,APOB,CTSG,CXCL10,ELANE,LTF,SAA1
GO:0042379	chemokine receptor binding	5	63	8.83e-05	ENSP00000225844,ENSP00000264657,ENSP00000305651,ENSP00000306512,ENSP00000379110	CCL13,CXCL1,CXCL10,CXCL8,STAT3
GO:0005102	signaling receptor binding	16	1513	0.00027	ENSP00000221515,ENSP00000225844,ENSP00000233242,ENSP00000236850,ENSP00000262768,ENSP00000264657,ENSP00000296370,ENSP00000305651,ENSP00000306512,ENSP00000308452,ENSP00000357712,ENSP00000357726,ENSP00000379110,ENSP00000384906,ENSP00000468897,ENSP00000471493	APOA1,APOB,CCL13,CXCL1,CXCL10,CXCL8,FPR1,FPR2,KRT17,RETN,S100A12,S100A7,S100P,SAA1,STAT3,TIMP2
GO:0008009	chemokine activity	4	48	0.00046	ENSP00000225844,ENSP00000305651,ENSP00000306512,ENSP00000379110	CCL13,CXCL1,CXCL10,CXCL8
GO:0045236	CXCR chemokine receptor binding	3	16	0.00055	ENSP00000305651,ENSP00000306512,ENSP00000379110	CXCL1,CXCL10,CXCL8
GO:0005515	protein binding	35	6605	0.0017	ENSP00000219022,ENSP00000221515,ENSP00000225844,ENSP00000233242,ENSP00000236850,ENSP00000252242,ENSP00000252244,ENSP00000255040,ENSP00000261267,ENSP00000262768,ENSP00000264657,ENSP00000283752,ENSP00000296370,ENSP00000297258,ENSP00000297435,ENSP00000305651,ENSP00000306512,ENSP00000308452,ENSP00000342082,ENSP00000343445,ENSP00000348170,ENSP00000357697,ENSP00000357712,ENSP00000357726,ENSP00000362574,ENSP00000362795,ENSP00000364210,ENSP00000373487,ENSP00000379110,ENSP00000384906,ENSP00000449404,ENSP00000452780,ENSP00000466090,ENSP00000468897,ENSP00000471493	AGER,APCS,APOA1,APOB,B2M,CCL13,CXCL1,CXCL10,CXCL8,CXCR3,DEFA4,ELANE,FABP5,FPR1,FPR2,HP,KRT1,KRT17,KRT18,KRT5,KRT8,LYZ,OLFM4,RETN,S100A12,S100A2,S100A7,S100P,S100PBP,SAA1,SERPINB3,SERPINB4,SLPI,STAT3,TIMP2
GO:0004982	N-formyl peptide receptor activity	2	4	0.0025	ENSP00000468897,ENSP00000471493	FPR1,FPR2
GO:0005124	scavenger receptor binding	2	4	0.0025	ENSP00000468897,ENSP00000471493	FPR1,FPR2
GO:0001664	G protein-coupled receptor binding	6	272	0.0030	ENSP00000225844,ENSP00000264657,ENSP00000305651,ENSP00000306512,ENSP00000379110,ENSP00000384906	CCL13,CXCL1,CXCL10,CXCL8,SAA1,STAT3
GO:0004866	endopeptidase inhibitor activity	5	169	0.0030	ENSP00000231751,ENSP00000262768,ENSP00000283752,ENSP00000342082,ENSP00000343445	LTF,SERPINB3,SERPINB4,SLPI,TIMP2
GO:0048018	receptor ligand activity	7	458	0.0062	ENSP00000221515,ENSP00000225844,ENSP00000236850,ENSP00000305651,ENSP00000306512,ENSP00000379110,ENSP00000384906	APOA1,CCL13,CXCL1,CXCL10,CXCL8,RETN,SAA1
GO:0004875	complement receptor activity	2	10	0.0065	ENSP00000468897,ENSP00000471493	FPR1,FPR2
GO:0097110	scaffold protein binding	3	57	0.0081	ENSP00000252242,ENSP00000373487,ENSP00000449404	KRT18,KRT5,KRT8
GO:0002020	protease binding	4	135	0.0082	ENSP00000262768,ENSP00000283752,ENSP00000343445,ENSP00000466090	ELANE,SERPINB3,SERPINB4,TIMP2
GO:0004857	enzyme inhibitor activity	6	388	0.0115	ENSP00000231751,ENSP00000236850,ENSP00000262768,ENSP00000283752,ENSP00000342082,ENSP00000343445	APOA1,LTF,SERPINB3,SERPINB4,SLPI,TIMP2
GO:0017127	cholesterol transporter activity	2	17	0.0133	ENSP00000233242,ENSP00000236850	APOA1,APOB
GO:0004252	serine-type endopeptidase activity	4	180	0.0196	ENSP00000216336,ENSP00000231751,ENSP00000236826,ENSP00000466090	CTSG,ELANE,LTF,MMP8
GO:0004867	serine-type endopeptidase inhibitor activity	3	94	0.0254	ENSP00000283752,ENSP00000342082,ENSP00000343445	SERPINB3,SERPINB4,SLPI
